num_projects,num_voters,algorithm,seed,runtime,total_cost,num_selected,social_welfare,budget_limit,remaining_budget
10,50,EES,1,0.0006,135,5,115,342,207
10,50,EES,2,0.0006,120,6,122,204,84
10,50,EES,3,0.0005,178,5,107,344,166
10,50,EES_AddOpt,1,0.0167,324,8,168,342,18
10,50,EES_AddOpt,2,0.0216,166,7,141,204,38
10,50,EES_AddOpt,3,0.0184,332,7,148,344,12
10,50,MES,1,0.0023,207,6,136,342,135
10,50,MES,2,0.0012,120,6,122,204,84
10,50,MES,3,0.0011,258,6,129,344,86
10,50,Greedy,1,0.0004,304,7,157,342,38
10,50,Greedy,2,0.0005,197,7,146,204,7
10,50,Greedy,3,0.0007,332,7,148,344,12
30,50,EES,1,0.0028,973,23,458,1229,256
30,50,EES,2,0.0028,804,22,461,1109,305
30,50,EES,3,0.003,820,20,425,1096,276
30,50,EES_AddOpt,1,0.1816,1168,25,504,1229,61
30,50,EES_AddOpt,2,0.1771,1107,26,540,1109,2
30,50,EES_AddOpt,3,0.2442,1096,24,497,1096,0
30,50,MES,1,0.0041,1105,22,451,1229,124
30,50,MES,2,0.0091,964,23,491,1109,145
30,50,MES,3,0.0049,995,22,474,1096,101
30,50,Greedy,1,0.0012,1224,24,497,1229,5
30,50,Greedy,2,0.0011,1106,23,498,1109,3
30,50,Greedy,3,0.0024,1082,22,476,1096,14
60,50,EES,1,0.0097,1998,48,1009,2340,342
60,50,EES,2,0.0102,1937,48,940,2316,379
60,50,EES,3,0.0077,1253,36,742,1550,297
60,50,EES_AddOpt,1,1.0369,2324,52,1093,2340,16
60,50,EES_AddOpt,2,0.9047,2313,53,1028,2316,3
60,50,EES_AddOpt,3,2.6237,1526,40,817,1550,24
60,50,MES,1,0.0171,2205,47,1012,2340,135
60,50,MES,2,0.0169,2203,50,987,2316,113
60,50,MES,3,0.0186,1490,36,774,1550,60
60,50,Greedy,1,0.0032,2338,49,1055,2340,2
60,50,Greedy,2,0.0032,2305,48,969,2316,11
60,50,Greedy,3,0.0031,1550,30,674,1550,0
100,50,EES,1,0.0381,3351,77,1593,3591,240
100,50,EES,2,0.0311,3026,70,1430,3299,273
100,50,EES,3,0.0303,2992,71,1493,3217,225
100,50,EES_AddOpt,1,7.298,3544,79,1634,3591,47
100,50,EES_AddOpt,2,9.0941,3288,74,1497,3299,11
100,50,EES_AddOpt,3,10.2644,3158,73,1535,3217,59
100,50,MES,1,0.0306,3494,73,1550,3591,97
100,50,MES,2,0.0325,3192,66,1393,3299,107
100,50,MES,3,0.0361,3175,64,1415,3217,42
100,50,Greedy,1,0.0099,3590,68,1474,3591,1
100,50,Greedy,2,0.0086,3284,64,1372,3299,15
100,50,Greedy,3,0.0105,3217,61,1361,3217,0
150,50,EES,1,0.0593,3750,96,2003,3969,219
150,50,EES,2,0.0623,3254,91,1901,3527,273
150,50,EES,3,0.0868,5409,125,2607,5676,267
150,50,EES_AddOpt,1,31.6631,3966,99,2069,3969,3
150,50,EES_AddOpt,2,33.8111,3513,95,1980,3527,14
150,50,EES_AddOpt,3,16.0732,5675,128,2667,5676,1
150,50,MES,1,0.0721,3924,78,1758,3969,45
150,50,MES,2,0.0725,3486,77,1724,3527,41
150,50,MES,3,0.1094,5631,118,2537,5676,45
150,50,Greedy,1,0.0099,3969,72,1673,3969,0
150,50,Greedy,2,0.0097,3525,67,1561,3527,2
150,50,Greedy,3,0.0113,5673,115,2509,5676,3
200,50,EES,1,0.1105,4317,123,2556,4516,199
200,50,EES,2,0.1153,5087,137,2856,5386,299
200,50,EES,3,0.1229,4086,120,2574,4266,180
200,50,EES_AddOpt,1,83.3359,4514,126,2616,4516,2
200,50,EES_AddOpt,2,62.6546,5384,142,2940,5386,2
200,50,EES_AddOpt,3,78.0094,4263,123,2628,4266,3
200,50,MES,1,0.1291,4469,98,2189,4516,47
200,50,MES,2,0.1088,5358,117,2567,5386,28
200,50,MES,3,0.0929,4235,101,2287,4266,31
200,50,Greedy,1,0.0131,4516,86,1970,4516,0
200,50,Greedy,2,0.021,5386,111,2478,5386,0
200,50,Greedy,3,0.0229,4266,89,2082,4266,0
